Altitude Lower Bound (km),Altitude Upper Bound (km),Base Altitude (km),Nominal Density (kg/m^3),Scale Height (km)
0,25,0,1.225E+00,7.249
25,30,25,3.899E-02,6.349
30,40,30,1.774E-02,6.682
40,50,40,3.972E-03,7.554
50,60,50,1.057E-03,8.382
60,70,60,3.206E-04,7.714
70,80,70,8.770E-05,6.549
80,90,80,1.905E-05,5.799
90,100,90,3.396E-06,5.382
100,110,100,5.297E-07,5.877
110,120,110,9.661E-08,7.263
120,130,120,2.438E-08,9.473
130,140,130,8.484E-09,12.636
140,150,140,3.845E-09,16.149
150,180,150,2.070E-09,22.523
180,200,180,5.464E-10,29.74
200,250,200,2.789E-10,37.105
250,300,250,7.248E-11,45.546
300,350,300,2.418E-11,53.628
350,400,350,9.518E-12,53.298
400,450,400,3.725E-12,58.515
450,500,450,1.585E-12,60.828
500,600,500,6.967E-13,63.822
600,700,600,1.454E-13,71.835
700,800,700,3.614E-14,88.667
800,900,800,1.170E-14,124.64
900,1000,900,5.245E-15,181.05
,,,,
,,,,
,,,,
,,,,
